"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",249.2333,-0.106968049614562
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",252.9333,0.658948426324249
"Mean Project Supply (Apr-Sep)",357.9902,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",361.3104,-0.918932862159517
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",1377.9978,-0.424717659200919
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",668.7854,6.48355959923766
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Baseline",75.7443,5.45097122819803
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Baseline",12.0643,34.2232868877598
"Frequency Meeting Dry Year Fish Targets Scott",68.6502,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",70.5029,-2.62783516706405
"Frequency Meeting Dry Year Fish Targets Shasta",54.9329,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",56.8769,-3.41790779736589
"Mean Annual Water Delivery to LKNWR",18.3424,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",24.6143,-25.4807164940705
"Mean Annual Hydropower Generated (MW)",25714.7781,"MW","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",26741.1142,-3.83804538705422
"Boyle Mean Spill Volume per Year",256.5593,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",163.0602,57.3402338522828
"Copco1 Mean Spill Volume per Year",288.935,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",186.3791,55.0254293533985
"Iron Gate Mean Spill Volume per Year",616.4567,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",533.8601,15.4715814124337
"Boyle Mean Spill Days per Year",176.4333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",105.9,66.6036827195467
"Copco1 Mean Spill Days per Year",49.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",42.8,16.6665887850467
"Iron Gate Mean Spill Days per Year",133.5,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",170.3333,-21.6242508070941
"Freq of UKL Flood Control Release",42.3017,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce ET 30%",44.1179,-4.11669639760732
"Mean Ann UKL Flood Control Release Volume",291.2457,"KAF","Flood Control","CT","CMIP3",2030,"Reduce ET 30%",224.4786,29.7431915558989
"KenoReach Mean Ann Fishing Days",251.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",247.6667,1.39970371471013
"BoyleReach Mean Ann Fishing Days",154.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",154.9,-0.0430600387346658
"HellsCornerReach Mean Ann Fishing Days",254.6667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",220.4333,15.5300492257749
"IGScottReach Mean Ann Fishing Days",280.2667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",274.7333,2.01409876414691
"ScottSalmonReach Mean Ann Fishing Days",188.4,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",183.9667,2.40983830225796
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",213.9333,3.33440376042439
"TrinityOceanReach Mean Ann Fishing Days",254.4667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",252.9333,0.606246785219661
"KenoReach Mean Ann Boating Days",179.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",171.8,4.54016298020954
"BoyleReach Mean Ann Boating Days",52.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",59,-10.6215254237288
"HellsCornerReach Mean Ann Boating Days",202.3,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",256,-20.9765625
"IGScottReach Mean Ann Boating Days",280.2667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",274.7333,2.01409876414691
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",249.2333,-0.200615246839006
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",213.9333,3.33440376042439
"TrinityOceanReach Mean Ann Boating Days",254.4667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",252.9333,0.606246785219661
"Mean Project Supply (Apr-Sep)",358.4929,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",361.3104,-0.779800415376916
"Mean Annual UKL Stg and Inflow",1377.0365,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",1377.9978,-0.0697606338703999
"Mean Annual Shasta Flow",190.2655,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",187.6871,1.37377582156686
"Mean Annual Scott Flow",713.5683,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",668.7854,6.69615395312159
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 30%",75.7443,5.45097122819803
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 30%",12.0643,34.2232868877598
"Frequency Meeting Dry Year Fish Targets Scott",67.8653,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",70.5029,-3.74112270559082
"Frequency Meeting Dry Year Fish Targets Shasta",54.3488,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",56.8769,-4.44486250129666
"Mean Annual Water Delivery to LKNWR",19.5419,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",24.6143,-20.6075330194237
"Mean Annual Hydropower Generated (MW)",25782.5856,"MW","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",26741.1142,-3.58447517493494
"Boyle Mean Spill Volume per Year",257.1903,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",163.0602,57.727207497599
"Copco1 Mean Spill Volume per Year",289.7193,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",186.3791,55.4462383389554
"Iron Gate Mean Spill Volume per Year",618.456,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",533.8601,15.8460802745888
"Boyle Mean Spill Days per Year",176.5333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",105.9,66.6981114258734
"Copco1 Mean Spill Days per Year",50.1667,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",42.8,17.2119158878505
"Iron Gate Mean Spill Days per Year",133.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",170.3333,-21.3698671956687
"Freq of UKL Flood Control Release",41.9914,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce ET 50%",44.1179,-4.82003903177622
"Mean Ann UKL Flood Control Release Volume",291.6687,"KAF","Flood Control","CT","CMIP3",2030,"Reduce ET 50%",224.4786,29.9316282264768
"KenoReach Mean Ann Fishing Days",250.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",247.6667,1.14399715423996
"BoyleReach Mean Ann Fishing Days",153.2,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",154.9,-1.09748224661073
"HellsCornerReach Mean Ann Fishing Days",253.9333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",220.4333,15.1973408736339
"IGScottReach Mean Ann Fishing Days",280.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",274.7333,1.95342173664424
"ScottSalmonReach Mean Ann Fishing Days",188.4667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",183.9667,2.44609486390744
"SalmonTrinityReach Mean Ann Fishing Days",221,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",213.9333,3.30322581851446
"TrinityOceanReach Mean Ann Fishing Days",254.3667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",252.9333,0.566710670362505
"KenoReach Mean Ann Boating Days",180.4333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",171.8,5.02520372526193
"BoyleReach Mean Ann Boating Days",52.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",59,-10.2825423728814
"HellsCornerReach Mean Ann Boating Days",203.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",256,-20.3385546875
"IGScottReach Mean Ann Boating Days",280.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",274.7333,1.95342173664424
"ScottSalmonReach Mean Ann Boating Days",249,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",249.2333,-0.0936070741750858
"SalmonTrinityReach Mean Ann Boating Days",221,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",213.9333,3.30322581851446
"TrinityOceanReach Mean Ann Boating Days",254.3667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 50%",252.9333,0.566710670362505
"Mean Project Supply (Apr-Sep)",358.8836,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",361.3104,-0.671666245975763
"Mean Annual UKL Stg and Inflow",1380.2383,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",1377.9978,0.162590970754807
"Mean Annual Shasta Flow",191.293,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",187.6871,1.92122953575393
"Mean Annual Scott Flow",714.6789,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 50%",668.7854,6.86221619072426
"Mean Annual MWAT",79.8757,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 50%",75.7443,5.45440382972712
"Mean exceedence of MWAT - Poor",16.1957,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 50%",12.0643,34.2448380759762
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",56.8769,-2.92051782006403
"Mean Annual Water Delivery to LKNWR",17.7268,"KAF","Ecological Resources","CT","CMIP3",2030,"Add 30KAF",24.6143,-27.9817016937309
"Mean Annual Hydropower Generated (MW)",26027.2985,"MW","Hydropower","CT","CMIP3",2030,"Add 30KAF",26741.1142,-2.66935661192457
"Boyle Mean Spill Volume per Year",264.2508,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",163.0602,62.0572034132179
"Copco1 Mean Spill Volume per Year",298.0948,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",186.3791,59.9400361950455
"Iron Gate Mean Spill Volume per Year",632.0062,"KAF","Hydropower","CT","CMIP3",2030,"Add 30KAF",533.8601,18.3842358700341
"Boyle Mean Spill Days per Year",177.3333,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",105.9,67.4535410764873
"Copco1 Mean Spill Days per Year",51.5667,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",42.8,20.4829439252336
"Iron Gate Mean Spill Days per Year",135.2667,"days","Hydropower","CT","CMIP3",2030,"Add 30KAF",170.3333,-20.5870490385615
"Freq of UKL Flood Control Release",44.3461,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add 30KAF",44.1179,0.517250367764561
"Mean Ann UKL Flood Control Release Volume",299.7865,"KAF","Flood Control","CT","CMIP3",2030,"Add 30KAF",224.4786,33.5479194898756
"KenoReach Mean Ann Fishing Days",248.2,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",247.6667,0.215329715298826
"BoyleReach Mean Ann Fishing Days",150.7333,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",154.9,-2.68992898644286
"HellsCornerReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",220.4333,14.2749303303993
"IGScottReach Mean Ann Fishing Days",279.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",274.7333,1.57731152357579
"ScottSalmonReach Mean Ann Fishing Days",188.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",183.9667,2.22866420933788
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",213.9333,3.33440376042439
"TrinityOceanReach Mean Ann Fishing Days",254.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add 30KAF",252.9333,0.553505608000214
"KenoReach Mean Ann Boating Days",183,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",171.8,6.51920838183934
"BoyleReach Mean Ann Boating Days",53.3,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",59,-9.66101694915255
"HellsCornerReach Mean Ann Boating Days",206.2,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",256,-19.453125
"IGScottReach Mean Ann Boating Days",279.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",274.7333,1.57731152357579
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",249.2333,-0.200615246839006
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",213.9333,3.33440376042439
"TrinityOceanReach Mean Ann Boating Days",254.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add 30KAF",252.9333,0.553505608000214
"Mean Project Supply (Apr-Sep)",361.798,"KAF","Water Delivery","CT","CMIP3",2030,"Add 30KAF",361.3104,0.134953214742777
"Mean Annual UKL Stg and Inflow",1393.353,"KAF","Water Delivery","CT","CMIP3",2030,"Add 30KAF",1377.9978,1.11431237408361
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add 30KAF",187.6871,0.678842605591969
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add 30KAF",668.7854,6.48355959923766
"Mean Annual MWAT",79.8809,"degF","Water Quality","CT","CMIP3",2030,"Add 30KAF",75.7443,5.46126903278531
"Mean exceedence of MWAT - Poor",16.2009,"degF","Water Quality","CT","CMIP3",2030,"Add 30KAF",12.0643,34.2879404524092
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",70.5029,-1.57936765721694
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline",56.8769,-0.385217900412993
"Mean Annual Water Delivery to LKNWR",12.4664,"KAF","Ecological Resources","CT","CMIP3",2070,"Baseline",24.6143,-49.3530183673718
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Baseline",26741.1142,-3.05786024428257
"Boyle Mean Spill Volume per Year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",163.0602,131.861177650953
"Copco1 Mean Spill Volume per Year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",186.3791,124.863141843694
"Iron Gate Mean Spill Volume per Year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Baseline",533.8601,41.2749332643515
"Boyle Mean Spill Days per Year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Baseline",105.9,94.4916902738432
"Copco1 Mean Spill Days per Year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Baseline",42.8,27.1806074766355
"Iron Gate Mean Spill Days per Year",141.2667,"days","Hydropower","CT","CMIP3",2070,"Baseline",170.3333,-17.0645434568578
"Freq of UKL Flood Control Release",42.174,"Percent of Days","Flood Control","CT","CMIP3",2070,"Baseline",44.1179,-4.40614807141772
"Mean Ann UKL Flood Control Release Volume",359.1891,"KAF","Flood Control","CT","CMIP3",2070,"Baseline",224.4786,60.010397427639
"KenoReach Mean Ann Fishing Days",233.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",247.6667,-5.66624419027669
"BoyleReach Mean Ann Fishing Days",152.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",154.9,-1.4202711426727
"HellsCornerReach Mean Ann Fishing Days",244.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",220.4333,11.0993665657593
"IGScottReach Mean Ann Fishing Days",271.4,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",274.7333,-1.21328575749646
"ScottSalmonReach Mean Ann Fishing Days",192.8,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",183.9667,4.80157550252301
"SalmonTrinityReach Mean Ann Fishing Days",223.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",213.9333,4.65878851025063
"TrinityOceanReach Mean Ann Fishing Days",252.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline",252.9333,-0.0922377559617552
"KenoReach Mean Ann Boating Days",174.2667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",171.8,1.43579743888241
"BoyleReach Mean Ann Boating Days",50.8,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",59,-13.8983050847458
"HellsCornerReach Mean Ann Boating Days",176.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",256,-30.8984375
"IGScottReach Mean Ann Boating Days",271.4,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",274.7333,-1.21328575749646
"ScottSalmonReach Mean Ann Boating Days",243.6667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",249.2333,-2.23348966610803
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",213.9333,4.65878851025063
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Baseline",252.9333,-0.0922377559617552
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",361.3104,-0.342475610998199
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline",1377.9978,1.42808645993483
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",187.6871,4.72920088807383
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline",668.7854,12.9918505996094
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Baseline",75.7443,7.19935361472745
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Baseline",12.0643,45.200301716635
"Frequency Meeting Dry Year Fish Targets Scott",68.7414,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",70.5029,-2.49847878597901
"Frequency Meeting Dry Year Fish Targets Shasta",56.4571,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",56.8769,-0.738085233196609
"Mean Annual Water Delivery to LKNWR",14.199,"KAF","Ecological Resources","CT","CMIP3",2070,"Reduce ET 30%",24.6143,-42.3140207115376
"Mean Annual Hydropower Generated (MW)",26068.8609,"MW","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",26741.1142,-2.51393152496241
"Boyle Mean Spill Volume per Year",380.5482,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",163.0602,133.378960653795
"Copco1 Mean Spill Volume per Year",421.712,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",186.3791,126.265713269353
"Iron Gate Mean Spill Volume per Year",759.7491,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",533.8601,42.3123960753014
"Boyle Mean Spill Days per Year",206.5667,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",105.9,95.0582625118036
"Copco1 Mean Spill Days per Year",55,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",42.8,28.5046728971963
"Iron Gate Mean Spill Days per Year",142.2,"days","Hydropower","CT","CMIP3",2070,"Reduce ET 30%",170.3333,-16.5166177136238
"Freq of UKL Flood Control Release",42.1009,"Percent of Days","Flood Control","CT","CMIP3",2070,"Reduce ET 30%",44.1179,-4.57184045478138
"Mean Ann UKL Flood Control Release Volume",361.1132,"KAF","Flood Control","CT","CMIP3",2070,"Reduce ET 30%",224.4786,60.8675392665492
"KenoReach Mean Ann Fishing Days",231.7667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",247.6667,-6.41991838224517
"BoyleReach Mean Ann Fishing Days",150.6667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",154.9,-2.73292446739833
"HellsCornerReach Mean Ann Fishing Days",243.3,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",220.4333,10.3735234195559
"IGScottReach Mean Ann Fishing Days",271.6,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",274.7333,-1.14048788406792
"ScottSalmonReach Mean Ann Fishing Days",192.2,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",183.9667,4.47542952066868
"SalmonTrinityReach Mean Ann Fishing Days",224,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",213.9333,4.70553205134497
"TrinityOceanReach Mean Ann Fishing Days",252.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce ET 30%",252.9333,-0.118608344571478
"KenoReach Mean Ann Boating Days",176.8333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",171.8,2.92974388824214
"BoyleReach Mean Ann Boating Days",51.3667,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",59,-12.9377966101695
"HellsCornerReach Mean Ann Boating Days",178.6,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",256,-30.234375
"IGScottReach Mean Ann Boating Days",271.6,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",274.7333,-1.14048788406792
"ScottSalmonReach Mean Ann Boating Days",243.3333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",249.2333,-2.36725991270027
"SalmonTrinityReach Mean Ann Boating Days",224,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",213.9333,4.70553205134497
"TrinityOceanReach Mean Ann Boating Days",252.6333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce ET 30%",252.9333,-0.118608344571478
"Mean Project Supply (Apr-Sep)",361.2039,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",361.3104,-0.0294760405457578
"Mean Annual UKL Stg and Inflow",1405.271,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",1377.9978,1.97919038767695
"Mean Annual Shasta Flow",197.3168,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",187.6871,5.13072022531118
"Mean Annual Scott Flow",757.5572,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce ET 30%",668.7854,13.2735852188161
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Reduce ET 30%",75.7443,7.19935361472745
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Reduce ET 30%",12.0643,45.200301716635
"Frequency Meeting Dry Year Fish Targets Scott",67.9201,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",70.5029,-3.66339540643008
"Frequency Meeting Dry Year Fish Targets Shasta",55.5444,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",56.8769,-2.3427788785957
"Mean Annual Water Delivery to LKNWR",15.5701,"KAF","Ecological Resources","CT","CMIP3",2070,"Reduce ET 50%",24.6143,-36.7436815184669
"Mean Annual Hydropower Generated (MW)",26156.2689,"MW","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",26741.1142,-2.18706406780912
"Boyle Mean Spill Volume per Year",382.5295,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",163.0602,134.594033369271
"Copco1 Mean Spill Volume per Year",423.781,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",186.3791,127.37581627983
"Iron Gate Mean Spill Volume per Year",763.6611,"KAF","Hydropower","CT","CMIP3",2070,"Reduce ET 50%",533.8601,43.0451723213628
